study.name,dint,SD,id,YofPub,cont.type,outcome,time,treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral
Bitc_Yng_Cmrn,-0.5156586,0.3479204,6,2005,1,3,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,8,88,1,99,1
Bitc_Yng_Cmrn,-0.6975506,0.356828,6,2005,1,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,0,88,1,99,0
Bitc_Yng_Cmrn,0.9476399,0.3550895,6,2005,1,2,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,0,88,1,99,0
Bitc_Yng_Cmrn,0.01103,0.3521868,6,2005,1,3,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,0,88,1,99,0
Bonilla.etal,1.2461877,0.2993365,7,2018,2,1,1,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0
Bonilla.etal,0.8090347,0.2834235,7,2018,2,1,3,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0
Bonilla.etal,1.6238454,0.3164201,7,2018,2,1,1,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0
Bonilla.etal,0.9220182,0.2862723,7,2018,2,1,3,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0
Brown,0.557805,0.2338801,8,2017,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
Brown,0.593319,0.2286606,8,2017,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
Brown,0.4156023,0.2212839,8,2017,1,2,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0
Brown,-0.1324652,0.2187214,8,2017,1,2,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0
Brown,0.3922565,0.2221954,8,2017,1,3,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
Brown,0.2831947,0.2194392,8,2017,1,3,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
Brown,0.1924195,0.222538,8,2017,1,4,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
Brown,0.0749261,0.2163508,8,2017,1,4,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
Brown,0.2022926,0.2195302,8,2017,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
Brown,0.250094,0.2164109,8,2017,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
Brown,0.0260805,0.2219664,8,2017,1,2,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0
Brown,0.2669462,0.2155619,8,2017,1,2,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0
Brown,-0.2091514,0.2206653,8,2017,1,3,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
Brown,0.6631468,0.2241901,8,2017,1,3,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
