id,study.name,dint,SD,cf.timely,setting,ed.level,profic,genre,timed,Length,graded,cf.training,error.type,cf.scope,cf.type,error.key,cf.revision,cf.oral
9,Diab_a,0.9658362,0.5138195,0,2,2,1,2,1,99,0,99,10,2,8,1,1,0
9,Diab_a,0.2620356,0.4122606,0,2,2,1,2,1,99,0,99,10,2,8,1,1,0
9,Diab_a,0.2447906,0.351671,0,2,2,1,2,1,99,0,99,10,2,3,1,1,0
9,Diab_a,0.0486597,0.3503167,0,2,2,1,2,1,99,0,99,10,2,3,1,1,0
9,Diab_a,1.2619321,0.4926312,0,2,2,1,2,1,99,0,99,10,2,3,1,1,0
9,Diab_a,0.2986588,0.3702823,0,2,2,1,2,1,99,0,99,10,2,3,1,1,0
10,Diab_b,-0.0241685,0.3304086,0,2,2,1,77,1,99,0,99,10,2,3,88,99,0
10,Diab_b,0.0568628,0.3633458,0,2,2,1,77,1,99,0,99,10,2,3,88,99,0
10,Diab_b,0.3543327,0.3426592,0,2,2,1,77,1,99,0,99,10,2,3,88,99,0
10,Diab_b,-0.6605675,0.3439417,0,2,2,1,77,1,99,0,99,10,2,3,88,99,0
11,Dlsk_Krlr,0.121189,0.1635721,0,2,2,1,99,1,99,0,99,0,1,1,88,1,0
11,Dlsk_Krlr,0.3717738,0.167221,0,2,2,1,99,1,99,0,99,0,1,1,88,1,0
11,Dlsk_Krlr,0.3936643,0.1719115,0,2,2,1,99,1,99,1,99,0,1,1,88,1,0
11,Dlsk_Krlr,0.2314312,0.172629,0,2,2,1,99,1,99,1,99,0,1,1,88,1,0
12,Eki_diGnro,0.0150051,0.3709275,1,1,2,1,5,0,99,99,99,1,2,0,88,2,0
12,Eki_diGnro,-0.5477378,0.3446148,1,1,2,1,5,0,99,99,99,1,2,0,88,2,0
12,Eki_diGnro,0.0969807,0.3559239,1,1,2,1,5,0,99,99,99,1,2,8,88,2,0
12,Eki_diGnro,-0.2352528,0.3392146,1,1,2,1,5,0,99,99,99,1,2,8,88,2,0
13,Elis_Sh_Mur_Tak,-0.0130216,0.4733229,1,2,2,1,5,0,99,0,99,1,2,0,88,2,0
13,Elis_Sh_Mur_Tak,0.7144886,0.5221837,1,2,2,1,5,0,99,0,99,1,2,0,88,2,0
13,Elis_Sh_Mur_Tak,1.8857288,0.6562503,1,2,2,1,5,0,99,0,99,1,0,0,88,2,0
13,Elis_Sh_Mur_Tak,1.132933,0.5119085,1,2,2,1,5,0,99,0,99,1,0,0,88,2,0
14,Ev_Hart_StngKras,1.0936034,0.4110233,0,1,2,2,2,1,1,88,99,0,0,2,1,1,0
15,Fazio,-0.130892,0.3631679,1,1,0,77,6,0,99,99,99,0,1,0,88,2,0
15,Fazio,-0.5467906,0.3878281,1,1,0,77,6,0,99,99,99,0,1,1,88,2,0
16,Frear_Chiu,1.0485025,0.444631,99,2,2,99,5,0,99,0,0,2,2,1,88,0,0
16,Frear_Chiu,1.1609789,0.4374823,99,2,2,99,5,0,99,0,0,2,2,1,88,0,0
16,Frear_Chiu,1.0507744,0.4317677,99,2,2,99,5,0,99,0,0,2,2,1,88,0,0
16,Frear_Chiu,0.9881051,0.4077344,99,2,2,99,5,0,99,0,0,2,2,1,88,0,0
17,Guo,0.6348017,0.2951438,0,2,2,1,5,1,1,0,0,0,1,1,88,0,0
17,Guo,0.9076638,0.3146548,0,2,2,1,5,1,1,0,0,0,1,1,88,0,0
17,Guo,0.9928717,0.3123369,0,2,2,1,5,1,1,0,0,0,1,1,88,0,0
17,Guo,1.2790014,0.3381325,0,2,2,1,5,1,1,0,0,0,1,2,1,0,0
17,Guo,0.9394399,0.3111452,0,2,2,1,5,1,1,0,0,0,1,2,1,0,0
17,Guo,0.3649804,0.287238,0,2,2,1,5,1,1,0,0,0,1,2,1,0,0
17,Guo,0.5434674,0.2944544,0,2,2,1,5,1,1,0,0,0,1,3,88,0,0
17,Guo,0.346734,0.2875928,0,2,2,1,5,1,1,0,0,0,1,3,88,0,0
17,Guo,0.9225743,0.3152422,0,2,2,1,5,1,1,0,0,0,1,3,88,0,0
17,Guo,0.4973949,0.2954937,0,2,2,1,5,1,1,0,0,0,1,0,88,0,0
17,Guo,0.9395114,0.307874,0,2,2,1,5,1,1,0,0,0,1,0,88,0,0
17,Guo,0.2159263,0.279293,0,2,2,1,5,1,1,0,0,0,1,0,88,0,0
17,Guo,0.8525524,0.309845,0,2,2,1,5,1,1,0,0,0,1,8,88,0,0
17,Guo,0.680117,0.2944967,0,2,2,1,5,1,1,0,0,0,1,8,88,0,0
17,Guo,0.7709437,0.3077805,0,2,2,1,5,1,1,0,0,0,1,8,88,0,0
18,Harts_Evans,0.9936019,0.4358792,0,1,2,1,2,1,99,0,99,0,0,2,1,1,0
19,Hartshorn,0.8304661,0.3165176,0,1,2,2,2,0,1,0,1,1,0,2,1,1,0
19,Hartshorn,0.9482234,0.3154391,0,1,2,2,2,0,1,0,1,1,0,2,1,1,0
19,Hartshorn,0.3817407,0.3088334,0,1,2,2,2,0,1,0,1,10,0,2,1,1,0
19,Hartshorn,-0.250819,0.2995099,0,1,2,2,2,0,1,0,1,10,0,2,1,1,0
20,Jhowry,-0.0618444,0.4704436,1,1,2,2,2,1,2,99,0,0,2,1,88,1,0
21,Jiang_Xiao,1.0680665,0.3058096,1,2,2,1,5,1,1,88,1,1,2,0,88,99,0
21,Jiang_Xiao,0.6699853,0.2755603,1,2,2,1,5,1,1,88,1,1,2,0,88,99,0
