"study.name","dint","SD","id","YofPub","cont.type","outcome","time","treatments","cf.timely","ssci","setting","ed.level","Age","profic","motivation","Ss.aware","random.grp","equiv.grp","rel.inter","rel.intra","genre","sourced","timed","Location","Length","instruction","graded","acc.measure","cf.training","error.type","cf.scope","cf.type","error.key","cf.provider","cf.revision","cf.oral"
"Al.Ahm_Al.Jar",0.533733731050182,0.420760721906383,1,2015,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0
"Al.Ahm_Al.Jar",0.296116599239665,0.403554750585932,1,2015,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0
"Al.Ahm_Al.Jar",-0.155386371001423,0.421488618354013,1,2015,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1
"Al.Ahm_Al.Jar",0.131015334403368,0.436752640163471,1,2015,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1
"Al_Ajmi",3.44422681796512,0.527803773598134,2,2015,1,1,1,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1
"Al_Ajmi",4.37645743298221,0.696687764960306,2,2015,1,1,2,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1
"Bitc_Knch_a",0.874010738002297,0.364755723525833,3,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
"Bitc_Knch_a",1.28539695170565,0.396859241899649,3,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
"Bitc_Knch_a",1.3816043075105,0.393870936708943,3,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0
"Bitc_Knch_a",0.39544390719508,0.371002870374526,3,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0
"Bitc_Knch_a",0.68412154461385,0.38995608107302,3,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0
"Bitc_Knch_a",0.840489804063828,0.391251170235839,3,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0
"Bitc_Knch_b",0.685256679111567,0.435093072040278,4,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0
"Bitc_Knch_b",0.284456897067807,0.350380795464672,4,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0
"Bitc_Knch_b",0.932902038808627,0.456169559069854,4,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0
"Bitc_Knch_b",0.723050548009987,0.441773122158796,4,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0
"Bitc_Knch_b",0.260037972520419,0.350324024459323,4,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1
"Bitc_Knch_b",1.07574778768054,0.468454435192499,4,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1
"Bitc_Knch_c",2.23580048872158,0.662181572309702,5,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
"Bitc_Knch_c",1.2856505005234,0.52343929700021,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
"Bitc_Knch_c",0.741619417647072,0.455515133885027,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
"Bitc_Knch_c",1.77477930764387,0.514206577136727,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
"Bitc_Knch_c",1.52749929357864,0.478701635548653,5,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
"Bitc_Knch_c",1.32949026643913,0.462975961001316,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
"Bitc_Knch_c",1.74952437589891,0.54138500681888,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
"Bitc_Knch_c",1.40253098101932,0.495641143680312,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
"Bitc_Knch_c",0.931911440415526,0.448566655959153,5,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
"Bitc_Knch_c",2.53617175568473,0.632209901252992,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
"Bitc_Knch_c",1.98211435174203,0.557863653676902,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
"Bitc_Knch_c",1.31656934509598,0.467311242425343,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
"Bitc_Yng_Cmrn",0.659280404456532,0.347065176621187,6,2005,1,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,8,88,1,99,1
"Bitc_Yng_Cmrn",-0.493579287454924,0.37950535775418,6,2005,1,2,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,8,88,1,99,1
