"","K","mu","low","up","I2","tau","BF01.mu","BF01.tau","perc.mu"
"setting.1","16","0.462467","0.205248","0.723009","0.629713","0.383639","0.080555","0.098746","17.81%"
"setting.2","34","0.536563","0.340592","0.733556","0.780875","0.489388","0.000312","0","20.42%"
