"study.name","dint","SD","id","YofPub","cont.type","outcome","time","treatments","cf.timely","ssci","setting","ed.level","Age","profic","motivation","Ss.aware","random.grp","equiv.grp","rel.inter","rel.intra","genre","sourced","timed","Location","Length","instruction","graded","acc.measure","cf.training","error.type","cf.scope","cf.type","error.key","cf.provider","cf.revision","cf.oral"
"Al.Ahm_Al.Jar",0.5337337,0.4253034,1,2015,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0
"Al.Ahm_Al.Jar",0.2961166,0.4113765,1,2015,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0
"Al.Ahm_Al.Jar",-0.1553864,0.4190633,1,2015,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1
"Al.Ahm_Al.Jar",0.1310153,0.4409241,1,2015,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1
"Al_Ajmi",3.4442268,0.5303704,2,2015,1,1,1,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1
"Al_Ajmi",4.3764574,0.7063409,2,2015,1,1,2,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1
"Bitc_Knch_a",0.8740107,0.3687888,3,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
"Bitc_Knch_a",1.285397,0.3958712,3,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1
"Bitc_Knch_a",1.3816043,0.3911003,3,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0
"Bitc_Knch_a",0.3954439,0.3808699,3,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0
"Bitc_Knch_a",0.6841215,0.3882165,3,2008,0,1,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0
"Bitc_Knch_a",0.8404898,0.3912208,3,2008,0,1,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0
"Bitc_Knch_b",0.6852567,0.4405953,4,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0
"Bitc_Knch_b",0.2844569,0.3511855,4,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0
"Bitc_Knch_b",0.932902,0.4587464,4,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0
"Bitc_Knch_b",0.7230505,0.4433803,4,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0
"Bitc_Knch_b",0.260038,0.3531784,4,2010,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1
"Bitc_Knch_b",1.0757478,0.4689308,4,2010,0,1,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1
"Bitc_Knch_c",2.2358005,0.6543095,5,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
"Bitc_Knch_c",1.2856505,0.5206114,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
"Bitc_Knch_c",0.7416194,0.4615709,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
"Bitc_Knch_c",1.7747793,0.5127394,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1
"Bitc_Knch_c",1.5274993,0.4741471,5,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
"Bitc_Knch_c",1.3294903,0.461906,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
"Bitc_Knch_c",1.7495244,0.5392045,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
"Bitc_Knch_c",1.402531,0.504462,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0
"Bitc_Knch_c",0.9319114,0.4477868,5,2010,0,1,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
"Bitc_Knch_c",2.5361718,0.6289709,5,2010,0,1,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0
