study.name,YofPub,group.name,n,cont.type,time,no.treat,cf.timely,ssci,setting,Ed.level,Age,Profic,Motiv.level,Ss.aware,Randassign,Group.Eq,rel.inter,rel.intra,Genre,Sourced,Timed,Location,Length,Gram.instruc,Grading,AccMeasure,Train.CF,error.type,scope,cf.type,error.key,source,revision,oral
Bitchener_Young_Cameron,2005,C_art_1,17,1,4,0,99,1,1,3,2,2,99,99,0,99,1,0,1,0,1,0,2,0,1,1,99,88,88,88,88,1,99,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang,2017,D_1,30,0,1,2,0,1,2,2,2,2,99,99,1,1,1,0,2,0,1,0,2,2,1,0,99,88,0,0,88,1,2,0
Zhang,2017,D_2,30,0,3,2,0,1,2,2,2,2,99,99,1,1,1,0,2,0,1,0,2,2,1,0,99,88,0,0,88,1,2,0
Zhang,2017,C_1,30,0,1,0,88,1,2,2,2,2,99,99,1,1,1,0,2,0,1,0,2,2,1,0,99,88,88,88,88,1,2,0
Zhang,2017,C_2,30,0,3,0,88,1,2,2,2,2,99,99,1,1,1,0,2,0,1,0,2,2,1,0,99,88,88,88,88,1,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu_Cheng,2017,D_M_1,31,1,0,3,1,0,2,2,2,2,99,0,0,1,1,0,2,1,1,0,1,0,1,14,88,1,1,8,88,3,1,0
Yu_Cheng,2017,D_M_2,31,1,2,3,1,0,2,2,2,2,99,0,0,1,1,0,2,1,1,0,1,0,1,14,88,1,1,8,88,3,1,0
Yu_Cheng,2017,C_1,29,1,0,0,88,0,2,2,2,2,99,0,0,1,1,0,2,1,1,0,1,0,1,14,88,0,88,88,88,3,1,0
Yu_Cheng,2017,C_2,29,1,2,0,88,0,2,2,2,2,99,0,0,1,1,0,2,1,1,0,1,0,1,14,88,0,88,88,88,3,1,0
