study.name,group.name,n,d,t.pair,df,mdif,sdif,mpre,sdpre,mpos,sdpos,r,rev.sign,rev.group,autoreg,post,control,outcome,ESL,prof,scope,type
,,,,,,,,,,,,,,,,,,,,,,
Mubarak,grA.short,17,NA,-4.366,NA,NA,NA,0.395,0.28,0.62,0.237,NA,FALSE,TRUE,FALSE,1,FALSE,1,2,2,2,4
Mubarak,grA.long,17,NA,NA,NA,NA,NA,0.395,0.28,0.52,0.205,NA,FALSE,FALSE,FALSE,2,FALSE,1,2,2,2,4
Mubarak,grB.short,16,NA,-0.839,NA,NA,NA,0.446,0.282,0.499,0.279,NA,FALSE,TRUE,FALSE,1,FALSE,1,2,2,2,2
Mubarak,grB.long,16,NA,NA,NA,NA,NA,0.446,0.282,0.513,0.195,NA,FALSE,FALSE,FALSE,2,FALSE,1,2,2,2,2
Mubarak,Cont.short,13,NA,-0.401,NA,NA,NA,0.545,0.272,0.516,0.267,NA,FALSE,TRUE,FALSE,1,TRUE,1,2,2,NA,NA
Mubarak,Cont.long,13,NA,NA,NA,NA,NA,0.545,0.272,0.436,0.204,NA,FALSE,FALSE,FALSE,2,TRUE,1,2,2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
Mubarak,grA.short,17,NA,6.015,NA,NA,NA,0.1,0.046,0.055,0.023,NA,TRUE,TRUE,FALSE,1,FALSE,2,2,2,2,2
Mubarak,grA.long,17,NA,NA,NA,NA,NA,0.1,0.046,0.062,0.027,NA,TRUE,FALSE,FALSE,2,FALSE,2,2,2,2,2
Mubarak,grB.short,16,NA,7.864,NA,NA,NA,0.105,0.03,0.053,0.026,NA,TRUE,TRUE,FALSE,1,FALSE,2,2,2,2,4
Mubarak,grB.long,16,NA,NA,NA,NA,NA,0.105,0.03,0.056,0.025,NA,TRUE,FALSE,FALSE,2,FALSE,2,2,2,2,4
Mubarak,Cont.short,13,NA,2.793,NA,NA,NA,0.093,0.032,0.083,0.028,NA,TRUE,TRUE,FALSE,1,TRUE,2,2,2,NA,NA
Mubarak,Cont.long,13,NA,NA,NA,NA,NA,0.093,0.032,0.078,0.032,NA,TRUE,FALSE,FALSE,2,TRUE,2,2,2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
Mubarak,grA.short,17,NA,-5.245,NA,NA,NA,53.7,24.26,76.05,19.04,NA,FALSE,TRUE,FALSE,1,FALSE,3,2,2,2,4
Mubarak,grA.long,17,NA,NA,NA,NA,NA,53.7,24.26,67.17,20.1,NA,FALSE,FALSE,FALSE,2,FALSE,3,2,2,2,4
Mubarak,grB.short,16,NA,-2.449,NA,NA,NA,63.43,18.5,73.68,15.4,NA,FALSE,TRUE,FALSE,1,FALSE,3,2,2,2,2
Mubarak,grB.long,16,NA,NA,NA,NA,NA,63.43,18.5,67.75,14.43,NA,FALSE,FALSE,FALSE,2,FALSE,3,2,2,2,2
Mubarak,Cont.short,13,NA,-3.007,NA,NA,NA,59.07,21.45,73.46,17.34,NA,FALSE,TRUE,FALSE,1,TRUE,3,2,2,NA,NA
Mubarak,Cont.long,13,NA,NA,NA,NA,NA,59.07,21.45,67.07,13.41,NA,FALSE,FALSE,FALSE,2,TRUE,3,2,2,NA,NA
