time

0
2
0
2

0
8
0
8
0
8

0
4
0
4
0
4
0
4
0
4

0
7
0
7
0
7
0
7

0
9
0
9
0
9
0
9

0
6
24
40
0
6
24
40
0
6
24
40
0
6
24
40
4
4
4
4
4
4
4
4
4
4

0
4
0
4
0
4

1
1
1
1
1
1

0
9
0
9
0
9
0
9
0
9
0
9

0
8
0
8
0
8
0
8

1
1
1
1
1
1

0
6
0
6
0
6

0
4
0
4
0
4

1
1

1
1
1

0
2
0
2
0
2

0
4
12
0
4
12
0
4
12
0
4
12
0
4
12
0
4
12

1
1
1
1
1
1
1
1

1
1

0
4
0
4
0
4

1
3
4
1
3
4
1
3
4
1
3
4

2
2
2
2

0
6
0
6
0
6

0
40
0
40
0
40
0
40
0
40
0
40
0
40
0
40
0
40
0
40
0
40
0
40

2
2
2

12
12
12
12

1
4
1
4
1
4

8
8
8
8
8
8

0
4
0
4

2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2

0
4
0
4
0
4
0
4

1
1
1
1

3
3

1
4
1
4
1
4
1
4

1
1

0
4
0
4
0
4

0
4
0
4
0
4

1
4
1
4
1
4
1
4
1
4
1
4
1
4
1
4
1
4
1
4
1
4
1
4

2
2
2
2
2
2

2
2
2

0
2
0
2
0
2
0
2
0
2
0
2

3
3
3

0
2
0
2
0
2

1
1

1
1
1
1
1
1
1
1
1
1
1
1

1
4
1
4
1
4
1
4
1
4
1
4

1
4
1
4
1
4
1
4
1
4
1
4

4
4

4
4
4
4
4
4

0
2
0
2

1
3
1
3
