"study.name","dint","SD","id","YofPub","cont.type","time","treatments","cf.timely","ssci","setting","ed.level","Age","profic","motivation","Ss.aware","random.grp","equiv.grp","rel.inter","rel.intra","genre","sourced","timed","Location","Length","instruction","graded","acc.measure","cf.training","error.type","cf.scope","cf.type","error.key","cf.provider","cf.revision","cf.oral"
"Bitc_Yng_Cmrn",-0.697550641,0.353743356,6,2005,1,4,3,99,1,1,3,2,1,99,99,0,99,1,0,1,0,1,0,2,2,1,1,99,2,1,0,88,1,99,0
"Bitc_Yng_Cmrn",0.947639862,0.35884627,6,2005,1,4,3,99,1,1,3,2,1,99,99,0,99,1,0,1,0,1,0,2,2,1,1,99,3,1,0,88,1,99,0
"Bitc_Yng_Cmrn",0.011029969,0.353730877,6,2005,1,4,3,99,1,1,3,2,1,99,99,0,99,1,0,1,0,1,0,2,2,1,1,99,1,1,0,88,1,99,0
"Bonilla.etal",1.246187675,0.298292161,7,2018,2,0,2,0,1,2,2,2,1,2,99,1,2,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0
"Bonilla.etal",0.809034722,0.282690531,7,2018,2,4,2,0,1,2,2,2,1,2,99,1,2,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0
"Bonilla.etal",1.623845361,0.322782942,7,2018,2,0,2,0,1,2,2,2,1,2,99,1,2,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0
"Bonilla.etal",0.922018218,0.28519157,7,2018,2,4,2,0,1,2,2,2,1,2,99,1,2,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0
"Brown",0.557805006,0.233375635,8,2017,1,1,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
"Brown",0.593319027,0.229630174,8,2017,1,2,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
"Brown",0.41560229,0.222954507,8,2017,1,1,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0
"Brown",-0.13246521,0.221420317,8,2017,1,2,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0
"Brown",0.392256498,0.224714976,8,2017,1,1,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
"Brown",0.283194722,0.223942931,8,2017,1,2,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0
"Brown",0.192419522,0.223283091,8,2017,1,1,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,9,1,0,88,1,1,0
"Brown",0.07492609,0.218704902,8,2017,1,2,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,9,1,0,88,1,1,0
"Brown",0.202292637,0.219429195,8,2017,1,1,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
"Brown",0.250094003,0.216283903,8,2017,1,2,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
"Brown",0.026080476,0.21850414,8,2017,1,1,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0
"Brown",0.266946241,0.217664862,8,2017,1,2,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0
"Brown",-0.209151391,0.223080084,8,2017,1,1,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
"Brown",0.663146847,0.226155776,8,2017,1,2,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0
"Brown",0.079862511,0.226725974,8,2017,1,1,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,9,1,2,1,1,1,0
"Brown",0.131716753,0.221020179,8,2017,1,2,5,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,9,1,2,1,1,1,0
"Diab_a",0.319183845,0.357863208,9,2015,2,0,3,0,1,2,2,2,1,99,1,99,99,99,0,2,0,1,0,99,1,0,0,99,8,2,8,1,0,1,0
"Diab_a",0.284182247,0.339833983,9,2015,2,9,3,0,1,2,2,2,1,99,1,99,99,99,0,2,0,1,0,99,1,0,0,99,8,2,8,1,0,1,0
